Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"C1, C14, C17, C4, C47, C48, C49, C50, C53, C54, C66, C75, C76, C87, C9, C91",0603,16,1uF,
"C10, C13, C24, C36, C39, C40, C42, C63, C71, C80",0603,10,10uF,
"C100, C101, C19, C20, C21, C22, C25, C26, C29, C30, C31, C41, C43, C44, C5, C55, C56, C57, C58, C59, C60, C64, C65, C70, C72, C73, C74, C93, C97, C98, C99",0603,31,0.1uF,
"C11, C23, C28, C61, C62, C8, C86, C88, C89, C90, C92, C94, C95, C96",0603,14,4.7uF,
"C12, C15, C18, C27, C32, C33, C34, C35, C37, C38, C7",0603,11,0.01uF,
"C16, C6",0603,2,47uF,
"C2, C3",0603,2,27pF,
"C45, C46",CP_EIA-3528-12_Kemet-T,2,100uF,
"C51, C52",CP_Elec_5x5.3,2,100uF,
"C67, C68, C69, C77, C78, C79, C81, C82, C83, C84, C85",0805,11,22uF,
"D1, D17",0603,2,5988E20107F,
"D10, D11, D12, D13, D14, D15",0603,6,D_TVS 3v3,
"D16, D18, D2, D3, D4, D5, D6",0603,7,5988E40107F,
"D19, D7, D8",D_SOD-523,3,RB751S40T1G,
"FB1, FB2",0603,2,120,
J1,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,1,HDMI_A,
J10,CONN24X1_CF35242D0RE-NH_CVI,1,CF35242D0RE-NH,
J11,PinHeader_2x08_P2.54mm_Vertical,1,Conn_GPIO,
J12,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Fan,
J13,PinHeader_1x07_P2.54mm_Vertical,1,power_test_points,
J14,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J3,SJ-3523-SMT_CUD,1,SJ-3523-SMT,
"J4, J5",USB_A_Receptacle_GCT_USB1046,2,USB_A,
J6,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,
J7,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J9,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,
"L1, L2, L3",1008,3,2.2uH,
"L4, L5",0805,2,1uH,
L6,0805,1,10uH,
Q1,SC-59,1,"Q_NPN_BEC 2SC3326-B,LF",
Q2,SOT-23-3,1,"SSM3K336R,LF",
R1,0603,1,240,
"R10, R11, R12, R13, R16, R18, R2, R21, R22, R23, R24, R3, R4, R58, R59, R6, R7, R74, R8, R9, TH1",0603,21,10K,
"R14, R17, R35, R36, R37, R38",0603,6,25,
R15,0603,1,100K,
"R19, R20, R55, R56, R57, R60, R61, R62, R63, R73, R75, R76",0603,12,75,
R25,0603,1,12K,
R26,0603,1,100,
"R27, R28",0603,2,1M,
"R29, R30, R49, R50",0603,4,5.1K,
"R31, R32",0603,2,60K,
"R33, R34, R43, R44, R54",0603,5,15K,
"R39, R40, R41, R42, R48, R77",0603,6,1K,
"R45, R78",0603,2,200K,
"R46, R47",0603,2,1.5K,
"R5, R52",0603,2,510,
"R51, R70",0603,2,560,
"R53, R79, R80",0603,3,2K,
R64,0603,1,23.2K,
"R65, R68",0603,2,40.2K,
R66,0603,1,24.9K,
"R67, R69",0603,2,20K,
R71,0603,1,4.99K,
R72,0603,1,0.47,
SW1,SPDT_204-124_CTS,1,204-124ST,
SW2,SW_PUSH_6mm,1,SW_Push TS02,
"SW3, SW4, SW6",SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,3,SW_Push TS11,
SW7,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT SLW-864587-2A-RA-N-D,
SW9,mss3111,1,MSS 3111 D-R,
U1,BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD,1,Ti60F256,
U10,MSOP-10_3x3mm_P0.5mm,1,MCP4728,
U11,TSSOP-10_3x3mm_P0.5mm,1,LM4811,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF85063AT,
U13,SOT-23-5,1,MCP3221/MCP3021,
U14,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,
U15,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,MC2520Z 25MHz,
"U16, U24, U27, U28, U31",MSOP-8_3x3mm_P0.65mm,5,SN74LVC2T45DCTR,
U17,SOTFL50P160X60-8N,1,TPS2116DRLR,
"U18, U19, U20",DRL0008A-MFG,3,TPS562211DRLR,
U2,BGA-96_9.0x13.5mm_Layout2x3x16_P0.8mm,1,IM8G16D3FFBG,
U21,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CC,
"U22, U26",Maxim_FC2QFN-14_2.5x2.5mm_P0.5mm,2,MAX77827AEFD,
U23,SOT-363_SC-70-6,1,SN74LVC1T45DCK,
U25,TSSOP-8_3x3mm_P0.65mm,1,PCA9306DP,
U3,IC_TFP410PAP,1,TFP410PAP,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JWS,
U5,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
"U6, U7, U9",SOT26_DIO,3,AP22653W6-7,
U8,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02-N4,
Y1,XTAL_ECS-120-20-3X-TR,1,ECS120-20-3XTR 12MHz,
Y2,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering,1,CM315D32768HZFT,
Y3,XTAL_ECS-120-20-3X-TR,1,ECS250-20-3XTR 25MHz,
