Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,10uF,
"C10, C11, C12, C14, C15, C16, C2, C7, C9",0603,9,4.7uF,
"C13, C5",0603,2,1uF,
C6,0805,1,22uF,
C8,0603,1,0.1uF,
"D1, D2, D3",0603,3,LED,
"D4, D5, D6",D_SOD-523,3,RB751S40T1G,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J10,JST_B2B-PH-SM4-TB,1,Out,
"J2, J6",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J3,JST_B2B-PH-SM4-TB,1,Battery,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,USB_A_Receptacle_GCT_USB1046,1,USB_A,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J8,CONN24X1_CF35242D0RE-NH_CVI,1,CF35242D0RE-NH,
J9,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
L1,0805,1,1uH,
L2,0805,1,10uH,
Q1,SOT-23-3,1,"SSM3K336R,LF",
"R1, R2",0603,2,5.1K,
R3,0603,1,2K,
R4,0603,1,15K,
"R5, R6, R7",0603,3,510,
R8,0603,1,4.99K,
R9,0603,1,0.47,
TH1,0603,1,10K,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CC,
U2,SOT-23-5,1,MCP3221/MCP3021,
U3,Maxim_FC2QFN-14_2.5x2.5mm_P0.5mm,1,MAX77827AEFD,
"U4, U5, U6",VSSOP-8_2.3x2mm_P0.5mm,3,SN74LVC2T45DCUR,
U7,SOT-363_SC-70-6,1,SN74LVC1T45DCK,
